Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Parks and Recreation Department,Building Assessment at Active Cemeteries,Assess conditions and develop repair plan for buildings in the City's three active cemeteries.,Public Facilities Department,To Be Scheduled,Multiple Neighborhoods,200000,0,0,0,0,0,0,0,60000,140000,0,0,0,0,0,200000
Property Management Department,City Hall Plaza Phase 2,Continue phased plaza improvements that will expand accessibility on the South Plaza; waterproofing and masonry repairs to the plaza and the Dock Square garage.,Public Facilities Department,In Design,Downtown/Government Center,50000000,0,0,0,0,0,0,500000,2000000,47500000,0,0,0,0,0,50000000
Public Works Department,Chinatown Sidewalk Improvements,Improve the condition of sidewalks in historic Chinatown neighborhood.,Public Works Department,In Design,Chinatown,500000,0,0,0,0,0,0,75000,300000,125000,0,0,0,0,0,500000
Office of Arts & Culture,Cultural Center Study,"Conduct a needs assessment, programming, and siting assessment for the development of a neighborhood-based facility that could support local events and activities and also sustain local cultural identities.",Public Facilities Department,To Be Scheduled,Citywide,125000,0,0,0,0,0,0,0,50000,75000,0,0,0,0,0,125000
Parks and Recreation Department,Walsh Park Study,Develop a comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,Study Underway,Dorchester,100000,250000,0,0,0,0,0,25000,200000,125000,0,0,0,0,0,350000
Public Works Department,Hyde Park Avenue Median,Extend median on Hyde Park Avenue at Neponset Avenue and Florian Street to make the temporary closures permanent.,Public Works Department,To Be Scheduled,Dorchester,200000,0,0,0,0,0,0,50000,150000,0,0,0,0,0,0,200000
Parks and Recreation Department,Town Field Study,Develop a comprehensive park master plan that will guide future capital investments.,Parks and Recreation Department,To Be Scheduled,Dorchester,100000,0,0,0,0,0,0,0,50000,50000,0,0,0,0,0,100000
Boston Centers for Youth and Families,BCYF Clougherty Pool,"Replace existing pool, pool deck, pool filtration system, and renovate existing bath house building.",Public Facilities Department,In Design,Charlestown,1800000,28200000,0,0,0,0,0,400000,15000000,14600000,0,0,0,0,0,30000000
Boston Public Schools,Security Cameras,Installation of security cameras in multiple schools across the City.,Boston Public Schools,Implementation Underway,Citywide,15000000,0,0,0,0,0,0,1000000,6500000,7500000,0,0,0,0,0,15000000
Environment Department,Moakley Park Connectors,Design of connection walking paths to Moakley Park from adjacent neighborhoods.,Environment Department,Study Underway,South Boston,544500,0,0,0,0,0,0,100000,300000,144500,0,0,0,0,1633500,2178000
Transportation Department,Roxbury Resilient Transportation Corridors,"Plan and design a transformation of three of Roxbury's central transportation corridors, Melnea Cass Blvd., Malcolm X Blvd., and Warren Street, into multimodal routes that center transit and active transportation.",Boston Transportation Department,To Be Scheduled,Roxbury,0,12500000,0,20000000,0,0,0,0,200000,12300000,0,0,0,20000000,0,32500000
Police Department,District D-4 Station Elevator,General repairs.,Police Department,In Design,South End,30000,0,0,0,0,0,0,15000,15000,0,0,0,0,0,0,30000
Boston Public Schools,"ARP 2022: Boilers, Roof, Windows at 4 Schools","Replace boilers at Burke High School and the Haley School; replace roof at the Henderson Upper School; and replace windows at The English High School, in conjunction with the MSBA Accelerated Repair Program.",Public Facilities Department,In Design,South End,593700,0,0,906300,0,0,0,50000,400000,143700,0,0,400000,506300,0,1500000
Boston Planning and Development Agency,Long Wharf Resiliency Improvements,"Design and engineering work for the resilience needs of Downtown and the North End, to advance the solutions outlined in Climate Ready Boston. The project includes stabilizing the east face seawall.",Boston Planning and Development Agency,New Project,Downtown/Government Center,0,1000000,5000000,0,0,0,0,0,365000,5635000,0,0,0,0,0,6000000
Boston Planning and Development Agency,RLFMP Wharf 8/Pier 10 Improvements,"Design and engineering work for the resilience needs of South Boston and Seaport, to advance the solutions outlined in Climate Ready Boston, specifically in the area of Wharf 8 and Pier 10 for improvements of existing waterfront structures.",Boston Planning and Development Agency,New Project,South Boston,0,5000000,0,0,0,0,0,0,500000,4500000,0,0,0,0,0,5000000
Boston Planning and Development Agency,RLFMP South Jetty and Bulkhead Rehabilitation,Construction of a replacement bulkhead and jetty near Drydock 3. Project includes demolition and removal of existing South Jetty.,Boston Planning and Development Agency,New Project,South Boston,0,7900000,0,0,0,0,0,0,2000000,5900000,0,0,0,0,0,7900000
Boston Planning and Development Agency,RLFMP Fid Kennedy Realignment,"Design, engineering, and reconstruction of Fid Kennedy Avenue into a designated industrial trucking route for the RLFMP.",Boston Planning and Development Agency,New Project,South Boston,0,5000000,0,0,0,0,0,0,200000,4800000,0,0,0,0,0,5000000
Boston Planning and Development Agency,RLFMP Streetscape Improvements,"Design and construction of improvements to the streets and sidewalks in the RLFMP to meet City standards including sidewalk widening, ADA compliance, and multimodal transportation infrastructure.",Boston Planning and Development Agency,New Project,South Boston,0,5000000,0,0,0,0,0,0,300000,4700000,0,0,0,0,0,5000000
Boston Planning and Development Agency,Harrison Avenue BWSC Operations,Study and design a garage to facilitate development of existing parking lots into mixed income housing and open space.,Boston Planning and Development Agency,New Project,South End,0,0,0,0,1000000,0,0,0,0,0,0,0,200000,800000,0,1000000
Boston Centers for Youth and Families,BCYF Johnson Community Center Renovations,Study to assess scope of interior and exterior improvements for a renovation of the community center.,Public Facilities Department,New Project,Mission Hill,0,250000,0,0,0,0,0,0,50000,200000,0,0,0,0,0,250000
Boston Centers for Youth and Families,BCYF Tobin Community Center Improvements,"Renovations to the Tobin Community Center, including accessibility improvements and AC work in the gym space.",Public Facilities Department,New Project,Mission Hill,250000,750000,0,0,0,0,0,0,200000,800000,0,0,0,0,0,1000000
Fire Department,Engine 18,Programming and design for a new fire station to replace the existing station.,Public Facilities Department,New Project,Dorchester,0,3000000,0,0,0,0,0,0,100000,2900000,0,0,0,0,0,3000000
Fire Department,Tech Rescue Water/Plumbing access,Install water and sewer infrastructure to the tech rescue training site at Moon Island.,Public Facilities Department,New Project,Harbor Islands,0,5000000,0,0,0,0,0,0,150000,4850000,0,0,0,0,0,5000000
Fire Department,Fire Headquarters Programming Study,Programming and siting study for a new Fire Department headquarters building.,Public Facilities Department,New Project,Citywide,0,2000000,0,0,0,0,0,0,100000,1900000,0,0,0,0,0,2000000
Fire Department,Seaport Fire Station,Programming and design for a new firehouse located in the Seaport.,Boston Planning and Development Agency,New Project,South Boston,0,4000000,0,0,0,0,0,0,0,4000000,0,0,0,0,0,4000000
Fire Department,Fire Equipment FY25-28,Purchase new fire apparatus for FY25-FY28 as scheduled in the Apparatus Replacement Plan.,Boston Fire Department,To Be Scheduled,Citywide,0,4777500,5015000,0,0,0,0,0,0,9792500,0,0,0,0,0,9792500
Fire Department,Fire Boat (Replace Norman Knight),Purchase a new harbor patrol boat to replace the department's boat named the Norman Knight.,Boston Fire Department,New Project,Citywide,0,900000,0,0,0,0,0,0,100000,800000,0,0,0,0,0,900000
Fire Department,Engine 17 Phase 2,"Design and construction of fueling station, additional parking, landscaping improvements, and demolition of the existing Engine 17 fire station.",Public Facilities Department,New Project,Dorchester,0,5000000,0,0,0,0,0,0,200000,4800000,0,0,0,0,0,5000000
Boston Public Library,Central Library: McKim Master Plan,Initial design and study of implementation of the McKim Master Plan.,Public Facilities Department,New Project,Back Bay,0,1000000,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Department of Innovation and Technology,311 Modernization,Upgrade the front and back ends of the BOS:311 system to modernize the software architecture for improved security and provide usability and access improvements.,Department of Innovation and Technology,New Project,Citywide,0,6000000,0,0,0,0,0,0,1000000,5000000,0,0,0,0,0,6000000
Department of Innovation and Technology,Unified Constituent Identity and Access Management,Begin work on creating a unified Identity and Access Management system for constituents of Boston to improve security and access of online Boston municipal services.,Department of Innovation and Technology,New Project,Citywide,0,1000000,0,0,0,0,0,0,500000,500000,0,0,0,0,0,1000000
Mayor's Office of Housing,BHA Retrofit,"Conduct energy efficiency retrofits at various BHA sites across Boston by electrifying HVAC systems and replacing natural gas stoves appliances, and electrifying other energy systems.",Boston Housing Authority,New Project,Multiple Neighborhoods,0,25000000,0,0,25000000,0,0,0,5000000,20000000,0,0,5000000,20000000,0,50000000
Police Department,Moon Island Gun Range,Renovate the outdoor rifle range training facility on Moon Island including improved drainage.,Boston Police Department,New Project,Citywide,0,4000000,0,0,0,0,0,0,200000,3800000,0,0,0,0,0,4000000
Police Department,911 Battery/UPS/PDU Backup,Replace E-9-1-1 battery/UPS/PDU backup system.,Boston Police Department,New Project,Citywide,0,2075000,0,0,0,0,0,0,100000,1975000,0,0,0,0,0,2075000
Public Health Commission,Franklin Park Ambulance Station,Study for new Boston EMS station within Franklin Park.,Public Facilities Department,New Project,Roxbury,0,200000,0,0,0,0,0,0,75000,125000,0,0,0,0,0,200000
Property Management Department,Animal Shelter HVAC - 26 Mahler Road,Design and implement HVAC and building repairs to the Boston Animal Shelter facility.,Public Facilities Department,New Project,Roslindale,0,0,0,0,1000000,0,0,0,0,0,0,0,100000,900000,0,1000000
Property Management Department,Old State House,Design accessibility improvements as part of a larger renovation at the Old State House building.,Property Management Department,New Project,Downtown/Government Center,0,0,0,0,500000,0,0,0,0,0,0,0,200000,300000,0,500000
Property Management Department,Facilities Condition Assessment,"Conduct a citywide assessment of municipal facilities, including BYCF centers, police and fire stations, office spaces, and other city buildings.",Public Facilities Department,Study Underway,Citywide,5000000,0,0,0,0,0,0,0,2500000,2500000,0,0,0,0,0,5000000
Parks and Recreation Department,Quincy Street Play Area,"Renovation to an active recreation park including full basketball court, café tables, and four exercise stations.",Parks and Recreation Department,New Project,Roxbury,0,1030000,0,0,0,0,0,0,50000,980000,0,0,0,0,0,1030000
Parks and Recreation Department,St. James Street Park,Renovation to a small park and playground.,Parks and Recreation Department,New Project,Roxbury,0,1250000,0,0,0,0,0,0,50000,1200000,0,0,0,0,0,1250000
Parks and Recreation Department,Rogers Park Phase 1,"Phase 1 improvements of Rogers Park Master Plan including renovations to the baseball and softball fields, perimeter fence, new LED sports lighting and a perimeter walking pathway with improved park entrances.",Parks and Recreation Department,New Project,Allston/Brighton,0,300000,0,0,0,0,0,0,25000,275000,0,0,0,0,0,300000
Parks and Recreation Department,Boston Common Shaw Accessibility,Create ADA accessible and general pedestrianized improvements at the Shaw Memorial on the Boston Common.,Parks and Recreation Department,New Project,Beacon Hill,0,0,0,450000,0,0,0,0,0,0,0,0,75000,375000,0,450000
Parks and Recreation Department,Franklin Park Elma Lewis Feasibility Study,Feasibility study to develop the needs of the Elma Lewis Playhouse.,Parks and Recreation Department,New Project,Roxbury,0,0,0,250000,0,0,0,0,0,0,0,0,75000,175000,0,250000
Parks and Recreation Department,Tebroc Street Play Area,"Renovate playground including new play equipment, surfacing, seating, improve drainage and infiltrate stormwater, and protect and expand tree canopy.",Parks and Recreation Department,New Project,Dorchester,0,1000000,0,0,0,0,0,0,50000,950000,0,0,0,0,0,1000000
Parks and Recreation Department,Condor Street Urban Wild,"Improve water quality and aquatic wildlife habitat in the immediate area of Chelsea Creek, structural safety improvements to a shoreline viewing pier, improve surfacing of concrete walking paths, and create new path connections to improve summit access.",Parks and Recreation Department,New Project,East Boston,0,760000,0,0,0,0,0,0,50000,710000,0,0,0,0,0,760000
Parks and Recreation Department,Jefferson Playground,"Ball field improvements, renovate playground, resurface basketball court, seating, and drainage improvements. Convert ball field lighting to LED for energy efficiency.",Parks and Recreation Department,New Project,Jamaica Plain,0,350000,0,0,0,0,0,0,25000,325000,0,0,0,0,0,350000
Parks and Recreation Department,Fidelis Way,"Renovate park including playground, safety surfacing, water play, paving, entrances and pathways, and minor repairs to basketball courts.",Parks and Recreation Department,New Project,Allston/Brighton,0,300000,0,0,0,0,0,0,25000,275000,0,0,0,0,0,300000
Parks and Recreation Department,Webster Ave Playground,"Improvements to playground include upgrades to accessibility, preserving and protecting trees, infiltrating storm water where feasible.",Parks and Recreation Department,New Project,North End,0,470000,0,0,0,0,0,0,50000,420000,0,0,0,0,0,470000
Parks and Recreation Department,Ronan Park,"Renovate park including full upper terrace, playground, safety surfacing, water play, paying, entrances, and basketball courts.",Parks and Recreation Department,New Project,Dorchester,0,300000,0,0,0,0,0,0,25000,275000,0,0,0,0,0,300000
Parks and Recreation Department,Barry Playground,"Upgrade field and sports lighting, install new drinking fountains, accessibility improvements, renovate seawall, and elevate the Harborwalk.",Parks and Recreation Department,New Project,Charlestown,0,400000,0,0,0,0,0,0,50000,350000,0,0,0,0,0,400000
Boston Public Schools,Door Alarms Upgrades at Various Schools,General security and safety upgrades to the door alarms at various schools across the City.,Boston Public Schools,New Project,Citywide,0,2100000,0,0,0,0,0,0,1250000,850000,0,0,0,0,0,2100000
Boston Public Schools,Elevator Upgrades at Various Schools,"General elevator improvements and upgrades at various schools across the district, including size, speed, and safety.",Boston Public Schools,New Project,Citywide,0,6000000,0,0,0,0,0,0,1500000,4500000,0,0,0,0,0,6000000
Boston Public Schools,Building Envelope Repairs at Various Schools,General envelope repairs at schools across the district to improve energy efficiency and keep the structure in a state of good repair.,Public Facilities Department,New Project,Citywide,0,6000000,0,0,0,0,0,0,750000,5250000,0,0,0,0,0,6000000
Boston Public Schools,Flooring Repairs at Various Schools,General flooring repairs in rooms and schools across the city.,Boston Public Schools,New Project,Citywide,0,2000000,0,0,0,0,0,0,2000000,0,0,0,0,0,0,2000000
Boston Public Schools,Gym Renovations at Various Schools,General gym renovations and repairs at various schools.,Boston Public Schools,New Project,Citywide,0,2000000,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,2000000
Boston Public Schools,Pool Upgrades and Repairs at Various Schools,General pool upgrades and repairs at various schools to keep the assets in a state of good repair.,Boston Public Schools,New Project,Citywide,0,2000000,0,0,0,0,0,0,700000,1300000,0,0,0,0,0,2000000
Boston Public Schools,O'Donnell School Yard Improvements,Improvements to the playground and school yard.,Boston Public Schools,In Design,East Boston,700000,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,700000
Boston Public Schools,Green New Deal for BPS Project Reserve,Reserve for anticipated design and construction costs for Green New Deal for BPS.,Public Facilities Department,New Project,Citywide,0,30500000,0,0,0,0,0,0,0,30500000,0,0,0,0,0,30500000
Boston Public Schools,King K-8 School Renovation,Study and design of the King K-8 School to result in major renovations and improvements.,Public Facilities Department,New Project,Dorchester,0,5000000,0,0,0,0,0,0,125000,4875000,0,0,0,0,0,5000000
Boston Public Schools,BCLA / McCormack School Phase 2 Renovation,Major renovations to the BCLA / McCormack School building to support the 7-12 grade configuration.,Public Facilities Department,New Project,Dorchester,0,12000000,0,0,60000,0,0,0,2500000,9500000,0,0,60000,0,0,12060000
Boston Public Schools,Property Acquisition for Schools,Identify and acquire property throughout the city that could be used for the building of new schools.,Public Facilities Department,New Project,Citywide,0,4000000,0,0,0,0,0,0,1000000,3000000,0,0,0,0,0,4000000
Boston Public Schools,Shaw School and Taylor School Study and Design,"Study and design for a consolidated school, combining the Shaw and Taylor schools. If selected, the project may be implemented in conjunction with the MSBA school building construction program.",Public Facilities Department,New Project,Mattapan,0,0,50000000,0,0,0,0,0,0,50000000,0,0,0,0,0,50000000
Public Works Department,Bussey Street Reconstruction Phase I,"Phase I of a reconstruction of Bussey Street in the Arboretum, which will improve sidewalk conditions, add lighting to the street, and explore adding active transportation infrastructure.",Public Works Department,New Project,Multiple Neighborhoods,0,250000,0,0,0,0,0,0,150000,100000,0,0,0,0,0,250000
Public Works Department,Green Infrastructure Existing Conditions Assessments,"Design, engineering, and construction work to implement green infrastructure solutions in targetable locations.",Public Works Department,New Project,Citywide,0,750000,0,0,0,0,0,0,375000,375000,0,0,0,0,0,750000
Public Works Department,Moon Island Causeway,Engineering and construction work to ensure the causeway to Moon Island remains in a state of good repair.,Public Works Department,New Project,Harbor Islands,0,2000000,0,0,0,0,0,0,250000,1750000,0,0,0,0,0,2000000
Public Works Department,Walworth Street Bridge,Engineering and construction work to ensure the Walworth Street Bridge remains in a state of good repair.,Public Works Department,New Project,Roslindale,0,0,0,0,3500000,0,0,0,0,0,0,0,200000,3300000,0,3500000
Public Works Department,Austin Street Bridge,Engineering and construction work to ensure the Austin Street Bridge remains in a state of good repair.,Public Works Department,New Project,Charlestown,5000000,0,0,0,0,0,0,0,300000,4700000,0,0,0,0,0,5000000
Public Works Department,Blakemore Street Bridge,Engineering and construction work to ensure the Blakemore Street Bridge remains in a state of good repair.,Public Works Department,New Project,Roslindale,0,0,0,0,750000,0,0,0,0,0,0,0,125000,625000,0,750000
Public Works Department,Belgrade Avenue Bridge,Engineering and construction work to ensure the Belgrade Ave Bridge remains in a state of good repair.,Public Works Department,New Project,Roslindale,3000000,0,0,0,0,0,0,0,400000,2600000,0,0,0,0,0,3000000
Public Works Department,Sullivan Square Underpass,Engineering and construction work to ensure the underpass at Sullivan Square remains in a state of good repair.,Public Works Department,New Project,Charlestown,0,0,0,0,2000000,0,0,0,0,0,0,0,400000,1600000,0,2000000
Public Works Department,Summer Street Bridge at Fort Point Channel,Engineering and construction work to ensure the Summer Street Bridge over Fort Point Channel remains in a state of good repair.,Public Works Department,New Project,South Boston,0,5000000,15000000,0,0,0,0,0,250000,19750000,0,0,0,0,0,20000000
Public Works Department,Massachusetts Ave. / Huntington Ave. Bridge,Engineering and construction work to ensure the overpass bridge at the intersection of Mass Ave and Huntington Ave remains in a state of good repair.,Public Works Department,New Project,Fenway-Kenmore,2000000,0,0,0,0,0,0,0,600000,1400000,0,0,0,0,0,2000000
Public Works Department,Shawmut Avenue Bridge,Engineering and construction work to ensure the Shawmut Ave Bridge remains in a state of good repair.,Public Works Department,New Project,Multiple Neighborhoods,0,0,0,0,1100000,0,0,0,0,0,0,0,300000,800000,0,1100000
Public Works Department,Nottingham Path,Engineering and construction work to ensure the Nottingham Path remains in a state of good repair.,Public Works Department,New Project,Allston/Brighton,1500000,0,0,0,0,0,0,0,150000,1350000,0,0,0,0,0,1500000
Public Works Department,Wellington Hill Street Stairs,Engineering and construction work to ensure the Wellington Hill Street stairs remains in a state of good repair.,Public Works Department,New Project,Mattapan,1000000,0,0,0,0,0,0,0,100000,900000,0,0,0,0,0,1000000
Transportation Department,MLK Jr. Boulevard,"Design and reconstruct MLK Jr. Blvd. in Roxbury to widen and improvement sidewalks, add separated bike lanes, and incorporate green infrastructure to this important Roxbury transportation route.",Boston Transportation Department,New Project,Roxbury,0,3800000,0,0,0,0,0,0,0,3800000,0,0,0,0,0,3800000
Transportation Department,Tremont/Columbus Phases I & II,"Incorporate green infrastructure components to the State's continuation of the center running bus lane on Columbus Avenue, and construct traffic calming infrastructure on the streets adjacent to Columbus Avenue.",Boston Transportation Department,New Project,Multiple Neighborhoods,0,3300000,0,0,0,0,0,0,250000,3050000,0,0,0,0,0,3300000
Transportation Department,Thoreau Path / Canal Street,"Pedestrianization of Canal Street in the Bulfinch Triangle creating a walkable route from Haymarket and Government Center to North Station, pedestrian improvements for the Thoreau Path, and a bike lane between Causeway Street and Commercial Street.",Boston Transportation Department,New Project,Downtown/Government Center,0,0,0,4785000,0,0,0,0,0,0,0,0,150000,4635000,0,4785000
Transportation Department,Go Boston 2030 Update,Update Boston's Go Boston 2030 master plan to assess the achievements thus far and realign priorities for the next decade of planning work.,Boston Transportation Department,New Project,Citywide,0,0,0,0,250000,0,0,0,0,0,0,0,200000,50000,300000,550000
Transportation Department,Safety Surge,"Design, engineering, and construction work for significantly increased roadway safety infrastructure across the city, focused on speed hump construction, traffic signal work at intersections, and raised crosswalks or other ADA ramp work.",Boston Transportation Department,New Project,Citywide,0,0,0,0,11720000,0,0,0,0,0,0,0,4000000,7720000,0,11720000
Transportation Department,Replace Parking Meters,Purchase new parking meters and upgrade existing multi-space parking meters.,Boston Transportation Department,New Project,Citywide,0,0,0,0,3500000,0,0,0,0,0,0,0,250000,3250000,0,3500000
Transportation Department,E-bike Purchase,Purchase and deploy e-assist bicycles in the Boston area BlueBike bikeshare system.,Boston Transportation Department,New Project,Citywide,0,0,0,0,1350000,0,0,0,0,0,0,0,1350000,0,0,1350000
Transportation Department,Safe Streets for All,"Design and construct safety improvements at 8 specific intersections across the city, in order to mitigate unsafe travel and improve pedestrian and active transportation safety.",Boston Transportation Department,New Project,Multiple Neighborhoods,0,2500000,0,9000000,0,0,0,0,0,2500000,0,0,300000,8700000,0,11500000
Transportation Department,Reconnecting Communities,Conduct a feasibility study and initial design for a new park built on a deck over the I-90 highway and MBTA tracks between Shawmut Avenue and Washington Street.,Boston Transportation Department,New Project,Chinatown,0,600000,0,0,1800000,0,0,0,200000,400000,0,0,300000,1500000,0,2400000
Property Management Department,Strand Theater,Study to assess capital needs at the Strand Theater.,Public Facilities Department,To Be Scheduled,Dorchester,250000,0,0,0,0,0,0,0,100000,150000,0,0,0,0,0,250000
Public Health Commission,Hyde Park Health Center Study,Programing and siting study for a Hyde Park area community health center.,Public Facilities Department,To Be Scheduled,Hyde Park,0,0,2000000,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000
Boston Public Schools,HVAC Repairs at Various Schools,HVAC repairs and upgrades at various schools.,Boston Public Schools,New Project,Citywide,0,10000000,0,0,0,0,0,0,5000000,5000000,0,0,0,0,0,10000000
Fire Department,HVAC Repairs at Various Fire Stations,HVAC repairs and upgrades at various fire stations.,Public Facilities Department,Annual Program,Citywide,910000,0,0,0,0,0,0,0,250000,660000,0,0,0,0,0,910000
