cabinet,dept,program,expense_category,fy21_actual_expense,fy22_actual_expense,fy23_appropriation,fy24_adopted,fy24_change_from_fy23
Finance Cabinet,Procurement,Goods Procurement,Personnel Services,585651.05,614427.96,687672.5716,627432.5643,-60240.007300000056
Finance Cabinet,Procurement,Goods Procurement,Contractual Services,1609.28,127301.53,7021.0,8097.41,1076.4099999999999
Finance Cabinet,Procurement,Goods Procurement,Supplies & Materials,1921.03,5276.99,4975.0,4975.0,0.0
Finance Cabinet,Procurement,Goods Procurement,Current Charges & Obligations,290.02,2631.44,400.0,400.0,0.0
Finance Cabinet,Procurement,Goods Procurement,Other Expenses,46746.0,,,,
Finance Cabinet,Procurement,Central Services,Personnel Services,325983.72,307075.51,333182.5302,295912.9372,-37269.59299999999
Finance Cabinet,Procurement,Central Services,Contractual Services,41525.82,32912.86,26021.0,27097.41,1076.4099999999999
Finance Cabinet,Procurement,Central Services,Supplies & Materials,2647.25,1009.98,2750.0,2750.0,0.0
Finance Cabinet,Procurement,Central Services,Current Charges & Obligations,25.0,,150.0,150.0,0.0
Finance Cabinet,Procurement,Central Services,Equipment,,17296.0,,,
Finance Cabinet,Procurement,Central Services,Other Expenses,41806.63,104161.79,6000.0,6000.0,0.0
Finance Cabinet,Procurement,Technology & Training,Personnel Services,,,,462011.9514,
Finance Cabinet,Procurement,Technology & Training,Contractual Services,,,,200000.0,
Finance Cabinet,Procurement,Strategic Procurement,Personnel Services,,,,536601.9429,
Finance Cabinet,Procurement,Strategic Procurement,Contractual Services,,,,200000.0,
Finance Cabinet,Treasury Department,General Management,Personnel Services,505212.35,617779.91,632463.6799,640968.4731,8504.793199999956
Finance Cabinet,Treasury Department,General Management,Contractual Services,80450.26,77386.31,496250.0,602600.0,106350.0
Finance Cabinet,Treasury Department,General Management,Supplies & Materials,5095.53,11876.9,18500.0,19000.0,500.0
Finance Cabinet,Treasury Department,General Management,Current Charges & Obligations,2454.3,2391.11,17000.0,21650.0,4650.0
Finance Cabinet,Treasury Department,Special Collections,Personnel Services,578414.55,448289.96,530263.5857,532695.1507,2431.564999999944
Finance Cabinet,Treasury Department,Special Collections,Contractual Services,1623.2,1983.92,3962.0,4800.0,838.0
Finance Cabinet,Treasury Department,Special Collections,Supplies & Materials,2500.0,1750.0,2250.0,2000.0,-250.0
Finance Cabinet,Treasury Department,Payment Services,Personnel Services,312385.99,392110.84,470397.3305,487253.8198,16856.489300000016
Finance Cabinet,Treasury Department,Payment Services,Contractual Services,409508.93,375421.97,1525.0,4200.0,2675.0
Finance Cabinet,Treasury Department,Payment Services,Supplies & Materials,499549.05,511383.76,516500.0,531750.0,15250.0
Finance Cabinet,Treasury Department,Payment Services,Equipment,5815.6,11733.51,20000.0,20000.0,0.0
Finance Cabinet,Treasury Department,Payment Services,Other Expenses,579792.0,501258.0,,,
Finance Cabinet,Treasury Department,Accounting/Quality Control,Personnel Services,396024.0,352997.34,353440.6886,365819.0327,12378.344099999988
Finance Cabinet,Treasury Department,Accounting/Quality Control,Contractual Services,1017.86,1180.34,1213.0,2100.0,887.0
Finance Cabinet,Treasury Department,Accounting/Quality Control,Supplies & Materials,500.0,250.0,500.0,250.0,-250.0
Finance Cabinet,Treasury Department,Treasury Administration,Personnel Services,510541.86,623739.92,519332.3409,699476.2867,180143.94580000004
Finance Cabinet,Treasury Department,Treasury Administration,Contractual Services,136716.83,144555.99,203108.0,249952.8,46844.79999999999
Finance Cabinet,Treasury Department,Treasury Administration,Supplies & Materials,14791.3,12414.69,15000.0,12414.69,-2585.3099999999995
Finance Cabinet,Treasury Department,Treasury Administration,Current Charges & Obligations,12204.3,6225.4,19000.0,10232.4,-8767.6
Finance Cabinet,Treasury Department,General Service/Payroll,Personnel Services,377614.73,355007.09,364381.6164,448579.1454,84197.52899999998
Finance Cabinet,Treasury Department,General Service/Payroll,Contractual Services,16730.6,15874.21,25400.0,17659.22,-7740.779999999999
Finance Cabinet,Treasury Department,General Service/Payroll,Supplies & Materials,240052.03,246178.24,245500.0,246178.24,678.2399999999907
Finance Cabinet,Treasury Department,Treasury Accounting,Personnel Services,180806.89,124222.66,175331.303,216785.0486,41453.745599999995
Finance Cabinet,Treasury Department,Treasury Accounting,Contractual Services,266.52,351.78,900.0,2410.0,1510.0
Finance Cabinet,Treasury Department,Treasury Accounting,Supplies & Materials,4500.0,4500.0,4750.0,4750.0,0.0
Finance Cabinet,Treasury Department,Accounts Receivable,Personnel Services,417902.35,287598.52,510171.7667,404198.7329,-105973.03379999998
Finance Cabinet,Treasury Department,Accounts Receivable,Contractual Services,207.15,326.78,900.0,3360.0,2460.0
Finance Cabinet,Treasury Department,Accounts Receivable,Supplies & Materials,17000.0,17000.0,17000.0,17000.0,0.0
Finance Cabinet,Treasury Department,Trust,Personnel Services,631.62,11696.0,4443.244349,31296.28117,26853.036820999998
Finance Cabinet,Treasury Department,Trust,Contractual Services,,,0.0,52110.0,52110.0
People Operations Cabinet,Office of People Operations,People Administration,Personnel Services,,,689108.0,847417.2253,158309.22530000005
People Operations Cabinet,Office of People Operations,People Administration,Contractual Services,,,103000.0,146081.0,43081.0
People Operations Cabinet,Office of People Operations,People Administration,Supplies & Materials,,,1000.0,1000.0,0.0
People Operations Cabinet,Office of People Operations,People Administration,Current Charges & Obligations,,,1000.0,,
People Operations Cabinet,Office of People Operations,People Administration,Equipment,,,2000.0,10000.0,8000.0
People Operations Cabinet,Health Insurance,Health Insurance,Current Charges & Obligations,210900841.5,205206595.7,217310394.0,222353329.0,5042935.0
People Operations Cabinet,Human Resources,Personnel,Personnel Services,2015785.34,2570913.75,2776064.705,3133921.673,357856.9679999999
People Operations Cabinet,Human Resources,Personnel,Contractual Services,94646.12,313995.46,1245818.0,1112218.0,-133600.0
People Operations Cabinet,Human Resources,Personnel,Supplies & Materials,5560.82,12558.2,5580.0,6830.0,1250.0
People Operations Cabinet,Human Resources,Personnel,Current Charges & Obligations,781482.72,725432.21,925637.0,1018755.0,93118.0
People Operations Cabinet,Human Resources,Personnel,Equipment,22460.85,94286.48,,,
People Operations Cabinet,Human Resources,Affirmative Action,Personnel Services,,,,182236.42,
People Operations Cabinet,Human Resources,Affirmative Action,Contractual Services,2024410.0,50000.0,61625.0,52500.0,-9125.0
People Operations Cabinet,Human Resources,Affirmative Action,Current Charges & Obligations,550.0,1250.0,2000.0,2000.0,0.0
People Operations Cabinet,Human Resources,Health Benefits & Insurance,Personnel Services,847645.04,898109.27,989180.3424,1009653.648,20473.30560000008
People Operations Cabinet,Human Resources,Health Benefits & Insurance,Contractual Services,14438.0,68893.64,48494.0,52010.0,3516.0
People Operations Cabinet,Human Resources,Health Benefits & Insurance,Supplies & Materials,43741.12,36608.4,43400.0,43400.0,0.0
People Operations Cabinet,Human Resources,Health Benefits & Insurance,Current Charges & Obligations,1114.19,1094.16,1250.0,683.98,-566.02
People Operations Cabinet,Human Resources,Health Benefits & Insurance,Equipment,475.0,,,,
People Operations Cabinet,Human Resources,Employee Assistance,Personnel Services,257562.52,600934.26,629593.4045,662196.9506,32603.546100000036
People Operations Cabinet,Human Resources,Employee Assistance,Contractual Services,253.58,1174.98,600.0,900.0,300.0
People Operations Cabinet,Human Resources,Employee Assistance,Supplies & Materials,,,500.0,500.0,0.0
People Operations Cabinet,Human Resources,Employee Assistance,Current Charges & Obligations,,,252.0,,
People Operations Cabinet,Human Resources,Employee Assistance,Equipment,1955.24,,,,
People Operations Cabinet,Human Resources,Workers' Comp,Personnel Services,713423.57,660453.1,798022.5776,907919.5607,109896.98310000007
People Operations Cabinet,Human Resources,Workers' Comp,Contractual Services,3381.09,5664.48,5550.0,5650.0,100.0
People Operations Cabinet,Human Resources,Workers' Comp,Supplies & Materials,2392.42,2577.45,8450.0,6850.0,-1600.0
People Operations Cabinet,Human Resources,Workers' Comp,Current Charges & Obligations,24026.8,139291.8,135094.0,162028.79,26934.790000000008
People Operations Cabinet,Medicare,Medicare Payments,Personnel Services,10542664.41,10890571.81,12635794.0,12635797.0,3.0
People Operations Cabinet,Office of Labor Relations,Labor Relations,Personnel Services,831980.32,743376.74,1363403.112,1322189.49,-41213.621999999974
People Operations Cabinet,Office of Labor Relations,Labor Relations,Contractual Services,425171.01,542131.91,556813.84,556919.84,106.0
People Operations Cabinet,Office of Labor Relations,Labor Relations,Supplies & Materials,434.42,940.44,2700.0,2700.0,0.0
People Operations Cabinet,Office of Labor Relations,Labor Relations,Current Charges & Obligations,38411.1,32282.88,38250.0,55123.0,16873.0
People Operations Cabinet,Office of Labor Relations,Labor Relations,Equipment,1605.22,5565.36,,,
People Operations Cabinet,Registry Division,Administration,Personnel Services,331409.42,356615.61,397678.0726,570785.3625,173107.28990000003
People Operations Cabinet,Registry Division,Administration,Contractual Services,9315.35,9884.17,13053.12,17423.0,4369.879999999999
People Operations Cabinet,Registry Division,Administration,Supplies & Materials,13519.99,14779.43,30576.25,39250.0,8673.75
People Operations Cabinet,Registry Division,Administration,Current Charges & Obligations,377.0,373.0,150.0,150.0,0.0
People Operations Cabinet,Registry Division,Administration,Equipment,,210.86,,,
People Operations Cabinet,Registry Division,Vital Statistics,Personnel Services,545849.31,503509.37,570163.0785,553689.0705,-16474.007999999914
People Operations Cabinet,Registry Division,Vital Statistics,Contractual Services,13237.44,11557.14,30960.0,33237.0,2277.0
People Operations Cabinet,Registry Division,Vital Statistics,Supplies & Materials,23945.6,29022.67,14750.0,16250.0,1500.0
People Operations Cabinet,Registry Division,Vital Statistics,Current Charges & Obligations,,,280.0,280.0,0.0
People Operations Cabinet,Registry Division,Vital Statistics,Equipment,3270.0,6927.42,,,
People Operations Cabinet,Registry Division,Depositions,Personnel Services,142609.04,147889.58,156041.5687,155895.695,-145.87369999999646
People Operations Cabinet,Registry Division,Depositions,Contractual Services,-7.14,303.57,,702.0,
People Operations Cabinet,Registry Division,Depositions,Supplies & Materials,250.0,250.0,250.0,250.0,0.0
People Operations Cabinet,Registry Division,Depositions,Current Charges & Obligations,597.52,550.53,600.0,402.0,-198.0
People Operations Cabinet,Unemployment Compensation,Unemployment Comp,Personnel Services,528212.31,190161.56,350000.0,350000.0,0.0
People Operations Cabinet,Workers' Compensation Fund,Workers' Compensation Fund,Personnel Services,1831834.33,,,,
People Operations Cabinet,Workers' Compensation Fund,Workers' Compensation Fund,Supplies & Materials,275.0,,,,
People Operations Cabinet,Workers' Compensation Fund,Workers' Compensation Fund,Other Expenses,7664.89,1484880.28,2000000.0,2000000.0,0.0
Human Services Cabinet,Office of Human Services,Human Services Office,Personnel Services,699808.33,517317.46,642013.6343,820455.5307,178441.89639999997
Human Services Cabinet,Office of Human Services,Human Services Office,Contractual Services,1059930.69,2096670.94,1835000.0,1839500.0,4500.0
Human Services Cabinet,Office of Human Services,Human Services Office,Supplies & Materials,839.06,368.7,7000.0,7000.0,0.0
Human Services Cabinet,Office of Human Services,Mayor's Office of Food Access,Personnel Services,275896.35,251899.32,,,
Human Services Cabinet,Office of Human Services,Mayor's Office of Food Access,Contractual Services,395319.44,671321.65,0.0,,
Human Services Cabinet,Office of Human Services,Mayor's Office of Food Access,Supplies & Materials,2924.97,3013.58,0.0,,
Human Services Cabinet,Office of Human Services,Mayor's Office of Food Access,Current Charges & Obligations,,,0.0,,
Human Services Cabinet,Office of Human Services,Mayor's Office of Food Access,Equipment,764.99,,,,
Human Services Cabinet,Office of Human Services,Mayor's Office of Community Safety,Personnel Services,,326323.46,713325.707,340260.9629,-373064.74410000007
Human Services Cabinet,Office of Human Services,Mayor's Office of Community Safety,Contractual Services,,9500.0,1960918.0,1478918.0,-482000.0
Human Services Cabinet,Office of Human Services,Mayor's Office of Community Safety,Supplies & Materials,,,3000.0,1000.0,-2000.0
Human Services Cabinet,Office of Human Services,Office of Early Childhood,Personnel Services,,,227132.368,741057.0429,513924.6749
Human Services Cabinet,Office of Human Services,Office of Early Childhood,Contractual Services,,,396980.0,753730.0,356750.0
Human Services Cabinet,Office of Human Services,Office of Early Childhood,Supplies & Materials,,,750.0,3000.0,2250.0
Human Services Cabinet,Office of Human Services,Office of Early Childhood,Current Charges & Obligations,,,,1000.0,
Human Services Cabinet,Office of Human Services,Office of Early Childhood,Other Expenses,,,,4000000.0,
Human Services Cabinet,Office of Human Services,Returning Citizens,Personnel Services,,,,989038.3507,
Human Services Cabinet,Office of Human Services,Returning Citizens,Contractual Services,,,,1130255.0,
Human Services Cabinet,Office of Human Services,Returning Citizens,Supplies & Materials,,,,2000.0,
Human Services Cabinet,Office of Human Services,Returning Citizens,Current Charges & Obligations,,,,270881.0,
Human Services Cabinet,Office of Human Services,Returning Citizens,Equipment,,,,5000.0,
Human Services Cabinet,Office of Human Services,Office of Youth Engagement & Advancement,Personnel Services,,,,452716.8066,
Human Services Cabinet,Office of Human Services,Office of Youth Engagement & Advancement,Contractual Services,,,,200000.0,
Human Services Cabinet,Office of Human Services,Office of Youth Engagement & Advancement,Supplies & Materials,,,,1500.0,
Human Services Cabinet,Office of Human Services,Office of Youth Engagement & Advancement,Equipment,,,,3000.0,
Human Services Cabinet,Office of Human Services,Coordinated Response Team,Personnel Services,,,,311998.7915,
Human Services Cabinet,Boston Center for Youth & Families,Administration & Policy,Personnel Services,12492576.78,12247576.2,12288786.31,12628448.22,339661.91000000015
Human Services Cabinet,Boston Center for Youth & Families,Administration & Policy,Contractual Services,3167630.42,2966998.27,3119077.459,3055820.571,-63256.8879999998
Human Services Cabinet,Boston Center for Youth & Families,Administration & Policy,Supplies & Materials,263322.79,353335.21,358697.586,358698.0,0.41399999998975545
Human Services Cabinet,Boston Center for Youth & Families,Administration & Policy,Current Charges & Obligations,128044.52,46127.56,282892.0,447569.0,164677.0
Human Services Cabinet,Boston Center for Youth & Families,Administration & Policy,Equipment,98365.7,81064.6,317617.0,311548.0,-6069.0
Human Services Cabinet,Boston Center for Youth & Families,Sports & Fitness,Personnel Services,4416704.35,3557295.0,5344703.107,6081461.145,736758.0379999997
Human Services Cabinet,Boston Center for Youth & Families,Sports & Fitness,Contractual Services,357.14,400385.7,500500.0,1000500.0,500000.0
Human Services Cabinet,Boston Center for Youth & Families,Youth & Family Services,Personnel Services,4233249.21,3937676.97,5080745.704,2456118.334,-2624627.37
Human Services Cabinet,Boston Center for Youth & Families,Youth & Family Services,Contractual Services,41814.28,357722.63,301000.0,301000.0,0.0
Human Services Cabinet,Boston Center for Youth & Families,Youth & Family Services,Supplies & Materials,,,7500.0,7500.0,0.0
Human Services Cabinet,Boston Center for Youth & Families,Youth & Family Services,Current Charges & Obligations,48102.48,433.34,50000.0,50000.0,0.0
Human Services Cabinet,Boston Center for Youth & Families,Youth & Family Services,Equipment,7275.4,14342.84,28686.0,713785.84,685099.84
Human Services Cabinet,Boston Center for Youth & Families,Child Care & Out-of-School,Personnel Services,1154870.63,1192662.13,1567274.832,1435616.6,-131658.23199999984
Human Services Cabinet,Boston Center for Youth & Families,Child Care & Out-of-School,Contractual Services,851471.15,898858.5,1179500.0,1174500.0,-5000.0
Human Services Cabinet,Boston Center for Youth & Families,Child Care & Out-of-School,Supplies & Materials,1074.87,8341.32,9600.0,10000.0,400.0
Human Services Cabinet,Boston Center for Youth & Families,Child Care & Out-of-School,Current Charges & Obligations,,542.56,2500.0,2500.0,0.0
Human Services Cabinet,Age Strong,Age Strong Administration,Personnel Services,762883.3,804228.16,1124753.158,1257506.95,132753.7919999999
Human Services Cabinet,Age Strong,Age Strong Administration,Contractual Services,311469.51,250368.95,257175.0,927380.64,670205.64
Human Services Cabinet,Age Strong,Age Strong Administration,Supplies & Materials,8710.21,48882.68,8850.0,10400.0,1550.0
Human Services Cabinet,Age Strong,Age Strong Administration,Current Charges & Obligations,50785.92,24519.19,25610.0,23074.0,-2536.0
Human Services Cabinet,Age Strong,Age Strong Operations,Personnel Services,499872.97,528500.0,763213.7043,860685.0384,97471.33409999998
Human Services Cabinet,Age Strong,Age Strong Operations,Contractual Services,302538.08,519965.51,510350.0,692370.0,182020.0
Human Services Cabinet,Age Strong,Age Strong Operations,Supplies & Materials,5454.87,70129.17,229445.0,234150.0,4705.0
Human Services Cabinet,Age Strong,Age Strong Operations,Current Charges & Obligations,250.0,23788.0,50000.0,50000.0,0.0
Human Services Cabinet,Age Strong,Age Strong Transportation,Personnel Services,1264267.87,1174247.02,1423270.006,1558137.856,134867.84999999986
Human Services Cabinet,Age Strong,Age Strong Transportation,Contractual Services,66756.5,61851.04,69000.0,68702.0,-298.0
Human Services Cabinet,Age Strong,Age Strong Transportation,Supplies & Materials,50540.63,76355.04,77940.8,86640.0,8699.199999999997
Human Services Cabinet,Age Strong,Age Strong Transportation,Current Charges & Obligations,7214.63,6118.34,12500.0,12500.0,0.0
Human Services Cabinet,Age Strong,Age Strong Transportation,Equipment,150247.95,120626.86,34832.0,34832.0,0.0
Human Services Cabinet,Age Strong,Program & Partnerships,Personnel Services,267281.75,212949.03,489540.1295,1239915.221,750375.0914999999
Human Services Cabinet,Age Strong,Program & Partnerships,Contractual Services,135177.46,300655.73,968000.0,884477.2,-83522.80000000005
Human Services Cabinet,Age Strong,Program & Partnerships,Supplies & Materials,500.0,,1330.0,1000.0,-330.0
Human Services Cabinet,Library Department,Library Administration,Personnel Services,9186158.14,9336960.95,5598199.492,6064709.87,466510.3780000005
Human Services Cabinet,Library Department,Library Administration,Contractual Services,8464776.5,9244676.34,594100.0,726991.0,132891.0
Human Services Cabinet,Library Department,Library Administration,Supplies & Materials,4191013.77,3726661.37,3892686.0,3892686.0,0.0
Human Services Cabinet,Library Department,Library Administration,Current Charges & Obligations,286819.35,248343.7,48610.0,49225.0,615.0
Human Services Cabinet,Library Department,Library Administration,Equipment,354527.68,380479.71,,,
Human Services Cabinet,Library Department,Library Administration,Other Expenses,35000.0,9500.0,,,
Human Services Cabinet,Library Department,Community Library Services,Personnel Services,15612790.51,16183782.53,18252286.76,19984698.77,1732412.009999998
Human Services Cabinet,Library Department,Community Library Services,Contractual Services,18420.87,350510.66,100000.0,100000.0,0.0
Human Services Cabinet,Library Department,Community Library Services,Supplies & Materials,,50.14,,,
Human Services Cabinet,Library Department,Community Library Services,Current Charges & Obligations,15572.8,20244.64,21000.0,20340.0,-660.0
Human Services Cabinet,Library Department,Research Services,Personnel Services,1674383.3,1419759.18,1783087.231,1829674.729,46587.49800000014
Human Services Cabinet,Library Department,Research Services,Contractual Services,1860.09,3283.12,,,
Human Services Cabinet,Library Department,Library Operations,Personnel Services,,,4057665.272,4387886.895,330221.6229999997
Human Services Cabinet,Library Department,Library Operations,Contractual Services,,,8594382.399,10174417.05,1580034.6510000005
Human Services Cabinet,Library Department,Library Operations,Supplies & Materials,,,22000.0,22000.0,0.0
Human Services Cabinet,Library Department,Library Operations,Current Charges & Obligations,,,566262.0,645574.0,79312.0
Human Services Cabinet,Library Department,Library Operations,Equipment,,,390254.08,445934.13,55680.04999999999
Human Services Cabinet,Library Department,Library Operations,Other Expenses,,,35000.0,35000.0,0.0
Human Services Cabinet,Boston VETS,Veterans' Services,Personnel Services,911830.55,943570.04,1128408.395,1204920.409,76512.01399999997
Human Services Cabinet,Boston VETS,Veterans' Services,Contractual Services,87375.91,126532.91,185202.0,185702.0,500.0
Human Services Cabinet,Boston VETS,Veterans' Services,Supplies & Materials,44362.06,75198.68,71550.0,71550.0,0.0
Human Services Cabinet,Boston VETS,Veterans' Services,Current Charges & Obligations,1564410.94,1410232.28,3331601.0,3331008.0,-593.0
Human Services Cabinet,Boston VETS,Veterans' Services,Equipment,,664.99,,,
Public Health Cabinet,Public Health Commission,Public Health Commission,Other Expenses,106473529.0,114802081.0,117994237.0,129907346.4,11913109.400000006
Housing Cabinet,Mayor's Office of Housing,Mayor's Office of Housing Administration,Personnel Services,1550222.146,1544234.12,1778037.287,2290300.801,512263.51399999997
Housing Cabinet,Mayor's Office of Housing,Mayor's Office of Housing Administration,Contractual Services,396214.59,218159.48,760360.4363,297083.9716,-463276.46469999995
Housing Cabinet,Mayor's Office of Housing,Mayor's Office of Housing Administration,Supplies & Materials,14841.5,20810.88,22000.0,22150.0,150.0
Housing Cabinet,Mayor's Office of Housing,Mayor's Office of Housing Administration,Current Charges & Obligations,67244.66,73015.32,92938.0,92258.0,-680.0
Housing Cabinet,Mayor's Office of Housing,Mayor's Office of Housing Administration,Equipment,6470.0,23160.0,22986.0,22986.0,0.0
Housing Cabinet,Mayor's Office of Housing,Real Estate Management & Sales,Personnel Services,881977.49,933562.79,1040934.617,1064707.965,23773.348000000115
Housing Cabinet,Mayor's Office of Housing,Real Estate Management & Sales,Contractual Services,1075305.17,1289553.41,2093700.2,2085708.0,-7992.199999999953
Housing Cabinet,Mayor's Office of Housing,Real Estate Management & Sales,Supplies & Materials,1750.0,6177.06,6750.0,7063.0,313.0
Housing Cabinet,Mayor's Office of Housing,Real Estate Management & Sales,Current Charges & Obligations,13770.0,11285.0,31650.0,31650.0,0.0
Housing Cabinet,Mayor's Office of Housing,Housing Development & Services,Personnel Services,1717317.35,1737982.0,3089204.362,3109686.668,20482.305999999866
Housing Cabinet,Mayor's Office of Housing,Housing Development & Services,Contractual Services,462141.2,462394.3,488500.0,503611.2,15111.200000000012
Housing Cabinet,Mayor's Office of Housing,Housing Development & Services,Supplies & Materials,3369.9,4425.11,3750.0,6525.0,2775.0
Housing Cabinet,Mayor's Office of Housing,Housing Development & Services,Other Expenses,22863343.0,28963343.0,35213343.0,39889343.0,4676000.0
Information & Technology Cabinet,Department of Innovation and Technology,DoIT Operations,Personnel Services,1630258.07,1424440.45,1832732.276,2464184.007,631451.7310000001
Information & Technology Cabinet,Department of Innovation and Technology,DoIT Operations,Contractual Services,4680716.21,2525498.64,640971.4,1060092.0,419120.6
Information & Technology Cabinet,Department of Innovation and Technology,DoIT Operations,Supplies & Materials,222943.64,42237.89,12450.0,15715.0,3265.0
Information & Technology Cabinet,Department of Innovation and Technology,DoIT Operations,Current Charges & Obligations,1301985.99,5198883.37,188688.0,261197.0,72509.0
Information & Technology Cabinet,Department of Innovation and Technology,DoIT Operations,Equipment,938112.96,761887.85,765642.54,900013.76,134371.21999999997
Information & Technology Cabinet,Department of Innovation and Technology,Enterprise Applications,Personnel Services,5582106.49,6392003.23,5644576.643,6194621.103,550044.46
Information & Technology Cabinet,Department of Innovation and Technology,Enterprise Applications,Contractual Services,2020283.65,1596487.22,100000.0,100000.0,0.0
Information & Technology Cabinet,Department of Innovation and Technology,Enterprise Applications,Current Charges & Obligations,6428644.39,4074174.55,8729943.86,9818845.81,1088901.9500000011
Information & Technology Cabinet,Department of Innovation and Technology,Enterprise Applications,Equipment,,457976.88,,,
Information & Technology Cabinet,Department of Innovation and Technology,Digital Engagement & Services,Personnel Services,783328.03,609206.97,1041450.395,1042541.495,1091.0999999999767
Information & Technology Cabinet,Department of Innovation and Technology,Digital Engagement & Services,Contractual Services,144.66,1060350.28,362000.0,362000.0,0.0
Information & Technology Cabinet,Department of Innovation and Technology,Digital Engagement & Services,Current Charges & Obligations,844820.65,960080.68,854680.0,903440.39,48760.390000000014
Information & Technology Cabinet,Department of Innovation and Technology,Digital Engagement & Services,Equipment,,,5000.0,18000.0,13000.0
Information & Technology Cabinet,Department of Innovation and Technology,Core Infrastructure,Personnel Services,4528657.86,4655450.39,4439973.905,4033369.146,-406604.7590000001
Information & Technology Cabinet,Department of Innovation and Technology,Core Infrastructure,Contractual Services,2675861.57,4853551.27,4250393.96,4418175.84,167781.8799999999
Information & Technology Cabinet,Department of Innovation and Technology,Core Infrastructure,Supplies & Materials,22892.6,282808.4,30250.0,35535.0,5285.0
Information & Technology Cabinet,Department of Innovation and Technology,Core Infrastructure,Current Charges & Obligations,7947246.16,9003673.01,10431136.87,9796399.03,-634737.8399999999
Information & Technology Cabinet,Department of Innovation and Technology,Core Infrastructure,Equipment,78389.21,830840.16,242761.52,259777.34,17015.820000000007
Information & Technology Cabinet,Department of Innovation and Technology,Data & Analytics,Personnel Services,594282.77,761001.6,1058891.297,1007680.227,-51211.070000000065
Information & Technology Cabinet,Department of Innovation and Technology,Data & Analytics,Contractual Services,55011.78,418915.36,100000.0,250000.0,150000.0
Information & Technology Cabinet,Department of Innovation and Technology,Data & Analytics,Current Charges & Obligations,504047.43,153773.75,513112.792,832129.84,319017.04799999995
Information & Technology Cabinet,Department of Innovation and Technology,Broadband & Digital Equity,Personnel Services,383817.93,437345.98,541561.7437,564307.4384,22745.694699999993
Information & Technology Cabinet,Department of Innovation and Technology,Broadband & Digital Equity,Contractual Services,-69.64,98893.92,191500.0,191500.0,0.0
Information & Technology Cabinet,Department of Innovation and Technology,Broadband & Digital Equity,Supplies & Materials,250.0,250.0,250.0,,
Public Safety Cabinet,Emergency Management,Homeland Security,Personnel Services,330905.75,487169.11,551200.7671,693883.1867,142682.4195999999
Public Safety Cabinet,Emergency Management,Homeland Security,Contractual Services,294800.05,263021.52,343508.0,368787.96,25279.96000000002
Public Safety Cabinet,Emergency Management,Homeland Security,Supplies & Materials,2795.8,5220.4,6000.0,6000.0,0.0
Public Safety Cabinet,Emergency Management,Homeland Security,Current Charges & Obligations,366090.48,376860.54,386857.2,398462.88,11605.679999999993
Public Safety Cabinet,Emergency Management,Homeland Security,Equipment,11913.52,3492.25,,,
Public Safety Cabinet,Fire Department,BFD Administration,Personnel Services,12592230.13,15230893.3,16664713.85,12306200.79,-4358513.0600000005
Public Safety Cabinet,Fire Department,BFD Administration,Contractual Services,2776881.2,3796522.64,3019667.062,3347210.07,327543.0079999999
Public Safety Cabinet,Fire Department,BFD Administration,Supplies & Materials,88805.12,166477.88,211825.0,215092.0,3267.0
Public Safety Cabinet,Fire Department,BFD Administration,Current Charges & Obligations,3753364.75,3855333.96,3942579.0,3933725.4,-8853.600000000093
Public Safety Cabinet,Fire Department,BFD Administration,Equipment,,,0.0,,
Public Safety Cabinet,Fire Department,Boston Fire Suppression,Personnel Services,199783710.1,212139442.5,202171628.3,202277294.1,105665.79999998212
Public Safety Cabinet,Fire Department,Boston Fire Suppression,Contractual Services,1135817.16,1324006.02,1170560.0,1216742.5,46182.5
Public Safety Cabinet,Fire Department,Boston Fire Suppression,Supplies & Materials,2475576.19,3891533.46,3132138.951,3340422.9,208283.94900000002
Public Safety Cabinet,Fire Department,Boston Fire Suppression,Current Charges & Obligations,6169.61,7862.28,51132.0,35809.21,-15322.79
Public Safety Cabinet,Fire Department,Boston Fire Suppression,Equipment,3830744.94,4888280.57,2022384.583,3101219.2,1078834.617
Public Safety Cabinet,Fire Department,Fire Alarm,Personnel Services,7907473.81,9101912.12,9434857.604,11204422.99,1769565.386
Public Safety Cabinet,Fire Department,Fire Alarm,Contractual Services,1289517.23,1649257.07,1360120.0,1348768.0,-11352.0
Public Safety Cabinet,Fire Department,Fire Alarm,Supplies & Materials,100191.09,222599.47,147679.0,147679.0,0.0
Public Safety Cabinet,Fire Department,Fire Alarm,Current Charges & Obligations,306248.04,260955.58,257998.0,235565.0,-22433.0
Public Safety Cabinet,Fire Department,Fire Alarm,Equipment,582064.04,291516.9,914870.03,1120223.565,205353.53499999992
Public Safety Cabinet,Fire Department,BFD Training,Personnel Services,4302070.44,5153539.72,5585078.862,5620597.406,35518.54400000069
Public Safety Cabinet,Fire Department,BFD Training,Contractual Services,88743.36,156538.94,100800.0,100800.0,0.0
Public Safety Cabinet,Fire Department,BFD Training,Supplies & Materials,74461.82,50607.21,129965.0,129965.0,0.0
Public Safety Cabinet,Fire Department,BFD Training,Current Charges & Obligations,2230.0,17444.5,16130.0,15830.0,-300.0
Public Safety Cabinet,Fire Department,BFD Training,Equipment,23517.0,40485.88,41100.0,84100.0,43000.0
Public Safety Cabinet,Fire Department,BFD Maintenance,Personnel Services,3544002.56,3981462.47,3955168.889,4153370.528,198201.63899999997
